path,creation_time,modification_time
rubik-stats,2025-02-01 12:50:19.384619,2025-02-05 18:25:05
.DS_Store,2025-02-01 12:55:36.964120,2025-02-07 19:48:06.068131
rubik-stats,2025-02-01 12:50:19.384619,2025-02-05 18:25:05
.DS_Store,2025-02-01 12:55:36.964120,2025-02-07 19:48:06.068131
rubik-stats/CubeTime - Default Session.csv,2025-02-01 16:42:37.382965,2025-02-01 16:42:37.383153
rubik-stats/CubeTime Export (csTimer).json,2025-02-01 16:42:37.394929,2025-02-01 16:42:37.395100
rubik-stats/CubeTime Export.ods,2025-02-01 16:42:37.401930,2025-02-01 16:44:20
rubik-stats/cstimer_20250201_173705.txt,2025-02-01 17:37:06.997958,2025-02-01 17:37:06.998167
rubik-stats/data2.csv,2025-02-01 17:01:57.137796,2025-02-01 17:01:57.147610
rubik-stats/cstimer_20250201_124358.txt,2025-02-01 16:42:37.326846,2025-02-01 16:42:37.327018
rubik-stats/display.json,2025-02-01 16:50:37.758020,2025-02-02 16:19:35.106209
rubik-stats/cstimer_20250201_173019.txt,2025-02-01 17:30:52.863132,2025-02-01 17:30:52.863305
rubik-stats/main.py,2025-02-01 16:45:06.532673,2025-02-02 17:14:49.378212
rubik-stats,2025-02-01 12:50:19.384619,2025-02-05 18:25:05
.DS_Store,2025-02-01 12:55:36.964120,2025-02-08 11:53:01.360426
rubik-stats/CubeTime - Default Session.csv,2025-02-01 16:42:37.382965,2025-02-01 16:42:37.383153
rubik-stats/CubeTime Export (csTimer).json,2025-02-01 16:42:37.394929,2025-02-01 16:42:37.395100
rubik-stats/CubeTime Export.ods,2025-02-01 16:42:37.401930,2025-02-01 16:44:20
rubik-stats/cstimer_20250201_173705.txt,2025-02-01 17:37:06.997958,2025-02-01 17:37:06.998167
rubik-stats/data2.csv,2025-02-01 17:01:57.137796,2025-02-01 17:01:57.147610
rubik-stats/cstimer_20250201_124358.txt,2025-02-01 16:42:37.326846,2025-02-01 16:42:37.327018
rubik-stats/display.json,2025-02-01 16:50:37.758020,2025-02-02 16:19:35.106209
rubik-stats/cstimer_20250201_173019.txt,2025-02-01 17:30:52.863132,2025-02-01 17:30:52.863305
rubik-stats/main.py,2025-02-01 16:45:06.532673,2025-02-02 17:14:49.378212
